Parameter,Parameter Code
Hydrogen cyanide,42607
Hydrogen ion conc (TSP) STP,12602
Hydrogen sulfide,42402
Hydronium ion,42304
Indan,43952
"Indeno[1,2,3-cd] pyrene PM10 STP",82243
"Indeno[1,2,3-cd]pyrene (TSP) STP",17243
Indium (PM10),83129
Indium (TSP) LC,14131
Indium (TSP) STP,12131
Indium PM10 STP,82131
Indium PM10-2.5 LC,86131
Indium PM2.5 LC,88131
Indium Pm10 Lc,85131
Indoor Temperature,62107
Infrared PM 2.5 Carbon at 950 nm,88364
Infrared Radiation,63303
Inorganic Fractn (SP),21113
Iodide (TSP) STP,12204
Iridium (TSP) STP,12133
Iridium PM2.5 LC,88133
Iron (SP),22126
Iron (TSP) LC,14126
Iron (TSP) STP,12126
Iron (precip),65334
Iron - 56 (TSP),11350
Iron - 57 (TSP),11358
Iron PM10 LC,85126
Iron PM10 STP,82126
Iron PM10-2.5 LC,86126
Iron PM10-2.5 STP,83126
Iron PM2.5 LC,88126
Iron PM2.5 STP,84126
Isobutane,43214
Isobutene,43270
Isobutene & 1-butene,43127
Isobutyraldehyde,43512
Isodrin  (TSP) STP,16784
Isomers of dodecane,43111
Isomers of ethyltoluene,45104
Isomers of pentene,43121
Isopentane,43221
Isopentane & cyclopentane,43341
Isophorone (TSP) STP,16914
Isoprene,43243
Isopropylbenzene,45210
Isosafrole  (TSP) STP,16785
Isovaleraldehyde,43513
Lanthanum (PM10),83147
Lanthanum (TSP) STP,12146
Lanthanum PM10 STP,82146
Lanthanum PM2.5 LC,88146
Lapse Rate,61202
Lead (SP),22128
Lead (TSP) LC,14129
Lead (TSP) LC Non-FRM/FEM,14128
Lead (TSP) STP,12128
Lead (precip),65337
Lead - 208 (TSP),11351
Lead PM10 LC,85128
Lead PM10 LC FRM/FEM,85129
Lead PM10 STP,82128
Lead PM10-2.5 LC,86128
Lead PM10-2.5 STP,83128
Lead PM2.5 LC,88128
Lead PM2.5 STP,84128
Lead-210 (TSP) STP,12129
Levoglucosan PM2.5 LC,88390
Light Absorption Coeffiecient,63102
Light scatter,11203
Light scatter (miles visibility),11207
Light scatter (ug/m3),11206
Limonene,43255
Lindane,43137
Magnesium (TSP) LC,14140
Magnesium (TSP) STP,12140
Magnesium (precip),65313
Magnesium PM10 LC,85140
Magnesium PM10 STP,82140
Magnesium PM10-2.5 LC,86140
Magnesium PM2.5 LC,88140
Malathion,43169
Manganese (SP),22132
Manganese (TSP) LC,14132
Manganese (TSP) STP,12132
Manganese (precip),65335
Manganese - 55 (TSP),11352
Manganese PM10 LC,85132
Manganese PM10 STP,82132
Manganese PM10-2.5 LC,86132
Manganese PM10-2.5 STP,83132
Manganese PM2.5 LC,88132
Manganese PM2.5 STP,84132
Mannosan PM2.5 LC,88391
Mercury (PM2.5 STP particulate bound),84242
Mercury (Reactive Gaseous),42243
Mercury (SP),22142
Mercury (TSP) LC,14142
Mercury (TSP) STP,12142
Mercury (deposition),65429
Mercury (precip),65329
Mercury (vapor),42242
Mercury PM10 LC,85142
Mercury PM10 STP,82142
Mercury PM10-2.5 STP,83142
Mercury PM2.5 LC,88142
Mercury PM2.5 STP,84142
Mercury compounds,92142
Methacrolein,43515
Methane,43201
Methanol,43301
Methoxychlor,43153
Methyl Butyl Ketone,43559
Methyl Iodide,43808
Methyl Parathion,43160
Methyl Vinyl Ketone,43558
Methyl chloroform,43814
Methyl ethyl ketone,43552
Methyl ethyl ketone & methacrolein,43549
Methyl isoamyl ketone,16521
Methyl isobutyl ketone,43560
Methyl mercaptan,43901
Methyl methacrylate,43441
Methyl methanesulfonate  (TSP) STP,16787
Methyl tert-butyl ether,43372
Methylcyclohexane,43261
Methylcyclopentane,43262
"Methylcyclopentane & 2,4-dimethylpentane",43346
Mixing Height,61301
Mixing Speed,61302
Mixture PCB 105/132/153 (TSP) STP,17028
Mixture PCB 123/149 (TSP) STP,17054
Mixture PCB 135/144 (TSP) STP,17029
Mixture PCB 138/163 (TSP) STP,17030
Mixture PCB 15/17 (TSP) STP,17020
Mixture PCB 16/32 (TSP) STP,17050
Mixture PCB 170/190 (TSP) STP,17031
Mixture PCB 171/202 (TSP) STP,17032
Mixture PCB 18/32 (TSP) STP,17021
Mixture PCB 187/182 (TSP) STP,17055
Mixture PCB 203/196 (TSP) STP,17033
Mixture PCB 208/195 (TSP) STP,17034
Mixture PCB 28/31 (TSP) STP,17022
Mixture PCB 37/42 (TSP) STP,17023
Mixture PCB 4/10 (TSP) STP,17018
Mixture PCB 41/71/64 (TSP) STP,17024
Mixture PCB 47/48 (TSP) STP,17025
Mixture PCB 56/60 (TSP) STP,17026
Mixture PCB 7/ 9 (TSP) STP,17019
Mixture PCB 70/76 (TSP) STP,17052
Mixture PCB 77/110 (TSP) STP,17027
Mixture PCB 8/5 (TSP) STP,17051
Mixture PCB 92/84 (TSP) STP,17053
Molybdenum (TSP) STP,12134
Molybdenum (precip),65134
Molybdenum - 98 (TSP),11353
Molybdenum PM10 LC,85134
Molybdenum PM10 STP ,82134
Molybdenum PM10-2.5 STP,83134
Molybdenum PM2.5 LC,88134
Molybdenum PM2.5 STP,84134
Molybdenum(TSP) LC,14134
N-Nitrosodibutylamine  (TSP) STP,16789
N-Nitrosodiethylamine  (TSP) STP,16790
N-Nitrosodimethylamine (TSP) STP,16722
N-Nitrosodipropylamine  (TSP) STP,16791
N-Nitrosomethylethylamine  (TSP) STP,16792
N-Nitrosopiperidine  (TSP) STP,16793
N-Nitrosopyrrolidine  (TSP) STP,16794
NITROUS OXIDE,42605
NOy - NO,42612
Naphthalene,45850
Naphthalene (TSP) STP,17141
Net radiation,63305
Nickel (SP),22136
Nickel (TSP) LC,14136
Nickel (TSP) STP,12136
Nickel (precip),65336
Nickel - 58 (TSP),11359
Nickel - 60 (TSP),11354
Nickel PM10 LC,85136
Nickel PM10 STP,82136
Nickel PM10-2.5 LC,86136
Nickel PM10-2.5 STP,83136
Nickel PM2.5 LC,88136
Nickel PM2.5 STP,84136
Niobium (TSP) STP,12147
Niobium PM2.5 LC,88147
Nitrate (SP),22306
Nitrate (TSP) LC,14306
Nitrate (TSP) STP,12306
Nitrate (precip),65321
Nitrate PM10 STP,82306
Nitrate PM2.5 STP ,82356
Nitric acid,42305
Nitric oxide (NO),42601
Nitrite,42609
Nitrite (TSP) STP,12309
Nitrite (precip),65343
Nitrite PM2.5 LC,88338
Nitrobenzene,45705
Nitrobenzene (TSP) STP,16788
Nitrogen dioxide (NO2),42602
Nitrous acid,42308
Non-volatile Nitrate PM2.5 LC,88310
Non-volatile nitrate PC10 LC,85310
Non-volatile nitrate PM10-2.5 LC,86310
Nonachlorobiphenyl (TSP) STP,17817
Nonanal,43524
Nylon deterioration,72501
O-xylene & N-nonane,45140
OC CSN Unadjusted PM2.5 LC TOT,88305
OC CSN Unadjusted PM2.5 STP TOT,84305
OC CSN_Rev Unadjusted PM2.5 LC TOR,88370
OC CSN_Rev Unadjusted PM2.5 LC TOT,88355
OC CSN_rev Unadjusted PM10 LC TOR,85370
OC CSN_rev Unadjusted PM10 LC TOT,85355
OC CSN_rev Unadjusted PM10-2.5 LC TOR,86370
OC CSN_rev Unadjusted PM10-2.5 LC TOT,86355
OC PM2.5 LC TOR,88320
OC PM2.5 LC TOT,88382
OC1 CSN Unadjusted PM2.5 LC TOT,88332
OC1 CSN_Rev Unadjusted PM2.5 LC,88374
OC1 CSN_rev Unadjusted PM10 LC,85374
OC1 CSN_rev Unadjusted PM10-2.5 LC,86374
OC1 PM2.5 LC,88324
OC2 CSN Unadjusted PM2.5 LC TOT,88333
OC2 CSN_Rev Unadjusted PM2.5 LC,88375
OC2 CSN_rev Unadjusted PM10 LC,85375
OC2 CSN_rev Unadjusted PM10-2.5 LC,86375
OC2 PM2.5 LC,88325
OC3 CSN Unadjusted PM2.5 LC TOT,88334
OC3 CSN_Rev Unadjusted PM2.5 LC,88376
OC3 CSN_rev Unadjusted PM10 LC,85376
OC3 CSN_rev Unadjusted PM10-2.5 LC,86376
OC3 PM2.5 LC,88326
OC4 CSN Unadjusted PM2.5 LC TOT,88335
OC4 CSN_Rev Unadjusted PM2.5 LC,88377
OC4 CSN_rev Unadjusted PM10 LC,85377
OC4 CSN_rev Unadjusted PM10-2.5 LC,86377
OC4 PM2.5 LC,88327
OCH PM2.5 LC TOT,88322
OCX Carbon PM2.5 LC,88304
OCX2 Carbon PM2.5 LC,88311
OP CSN PM2.5 LC TOT,88336
OP CSN_Rev Unadjusted PM2.5 LC TOR,88378
OP CSN_Rev Unadjusted PM2.5 LC TOT,88388
OP CSN_rev Unadjusted PM10-2.5 LC TOR,86378
OP CSN_rev Unadjusted PM10-2.5 LC TOT,86388
OP PM2.5 LC TOR,88328
OP PM2.5 LC TOT,88379
Octachlorobiphenyl (TSP) STP,17816
Octanal,43525
Op CSN_rev Unadjusted PM10 LC TOR,85378
Op CSN_rev Unadjusted PM10 LC TOT,85388
Optical EC PM2.5 LC TOT,88316
Optical EC PM2.5 STP TOT,84316
Organic Carbon Extinction PM2.5 LC,88346
Organic Carbon Mass PM2.5 LC,88350
Organic Fraction (SP),21102
Organic carbon PM10 STP,82305
Outdoor Temperature,62101
Oxides of nitrogen (NOx),42603
Ozone,44201
PH (precip),65302
PM 2.5 Carbon at 470 nm,88360
PM 2.5 Carbon at 520 nm,88361
PM 2.5 Carbon at 590 nm,88362
PM 2.5 Carbon at 660 nm,88363
PM 2.5 Carbon at 935 nm,88367
PM1 - Local Conditions,87111
PM10 - LC,85101
PM10 Total 0-10um STP,81102
PM10-2.5 - Local Conditions,86101
PM10-2.5 STP,81103
PM2.5 - Local Conditions,88101
PM2.5 Carbon at 430 nm,88396
PM2.5 Carbon at 525 nm,88397
PM2.5 Carbon at 565 nm,88398
PM2.5 Carbon at 700 nm,88399
PM2.5 Raw Data,88501
PM2.5 STP,81104
PM2.5 Total Atmospheric,88500
PM2.5 Volatile Channel,88503
Palladium (TSP) STP,12151
Palladium PM10 STP,82127
Palladium PM2.5 LC,88151
Paraffins (alkanes),16115
Particle Light Scatter,88347
"Particle Number, 100-200 nm",87100
"Particle Number, 20-30 nm",87020
"Particle Number, 30-50 nm",87030
"Particle Number, 50-70 nm",87050
"Particle Number, 70-100 nm",87070
"Particle Number, > 200 nm",87200
"Particle Number, Total Count",87101
Peak Wind Gust,61105
Pentachlorobenzene (TSP) STP,17803
Pentachlorobiphenyl (TSP) STP,17813
Pentachloroethane  (TSP) STP,16795
Pentachloronitrobenzene (TSP) STP,17725
Pentachlorophenol (TSP) STP,17808
Peroxyactyl nitrate,44301
Perylene (TSP) STP,17212
Phenacetin  (TSP) STP,16796
Phenanthrene (TSP) STP,17150
Phenol,45300
Phenol  (TSP) STP,16797
Phosphate (TSP) STP,12345
Phosphoric acid,42307
"Phosphorotrithioic acid,S,S,S-tributylester",43167
Phosphorus (TSP) STP,12152
Phosphorus (precip),65152
Phosphorus PM10 LC,85152
Phosphorus PM10 STP,82152
Phosphorus PM10-2.5 LC,86152
Phosphorus PM10-2.5 STP,83152
Phosphorus PM2.5 LC,88152
Phosphorus PM2.5 STP,84152
Pinene & p-ethytoluene,43188
Platinum (TSP) LC,14108
Platinum (TSP) STP,12150
Platinum PM10 LC,85108
Platinum PM2.5 LC,88141
Polonium-210 (TSP) STP,12153
Polychlorinated biphenyls (PCBs),17833
Polycyclic organic matter (TSP) STP,17199
Polynuclear aromatic hydrocarbons (TSP) STP,17202
Potassium (TSP) STP,12180
Potassium (precip),65312
Potassium Ion PM10 LC,85303
Potassium Ion PM10-2.5 LC,86303
Potassium Ion PM2.5 LC,88303
Potassium PM10 LC,85180
Potassium PM10 STP,82180
Potassium PM10-2.5 LC,86180
Potassium PM10-2.5 STP,83180
Potassium PM2.5 LC,88180
Potassium PM2.5 STP,84180
Potassium TSP LC,14180
Pronamide (TSP) STP,16798
Propane,43204
Propionaldehyde,43504
Propionitrile,43606
Propylene,43205
Propylene oxide,43602
Propyne,43144
Pyrene (TSP) STP,17204
Pyridine (TSP) STP,16799
Radioactivity rainfall,65305
Radium-226 (TSP) STP,12187
Radium-228 (TSP) STP,12188
Radon,43776
Rain 24hr total,65101
Rain/melt precipitation,65102
Reactive oxides of nitrogen (NOy),42600
Reconstructed Mass PM2.5 LC,88401
Relative Humidity,68110
Relative Humidity ,62201
Relative Humidity Factor,62202
Respirable part,31101
Retene (TSP) STP,17158
Rubber cracking,72401
Rubidium (TSP) LC,14176
Rubidium (TSP) STP,12176
Rubidium PM10 LC,85176
Rubidium PM10 STP,82176
Rubidium PM10-2.5 LC,86176
Rubidium PM10-2.5 STP,83176
Rubidium PM2.5 LC,88176
Rubidium PM2.5 STP,84176
SANDWICH - Adjusted Aluminum,91119
SANDWICH - Adjusted Ammonium,91110
SANDWICH - Adjusted Calcium,91118
SANDWICH - Adjusted Elemental Carbon (EC),91113
SANDWICH - Adjusted Iron,91116
SANDWICH - Adjusted Nitrate,91109
SANDWICH - Adjusted Organic Carbon Mass,91112
SANDWICH - Adjusted Salt,91114
SANDWICH - Adjusted Silicon,91115
SANDWICH - Adjusted Sulfate,91108
SANDWICH - Adjusted Titanium,91117
SANDWICH - Adjusted Water,91111
SANDWICH - Ammonium for mass balance,91102
SANDWICH - Crustal Mass,91123
SANDWICH - Filter Contamination Mass,91124
SANDWICH - Nitrate Mass,91121
SANDWICH - Raw Crustal Component Mass,91106
SANDWICH - Raw Nitrate,91101
SANDWICH - Raw Organic Carbon Mass,91104
SANDWICH - Raw Salt,91107
SANDWICH - Raw Total Carbonaceous Mass,91105
SANDWICH - Raw Water,91103
SANDWICH - Sulfate Mass,91120
SANDWICH - Total Carbonaceous Mass - material balance,91122
SO2 max 5-min avg,42406
Safrole (TSP) STP,16801
Samarium (TSP) STP,12162
Samarium PM2.5 LC,88162
Sample Flow Rate CV - Nylon Filter,68112
Sample Flow Rate CV - Quartz Filter,68113
Sample Flow Rate CV - Teflon Filter,68111
Sample Flow Rate- CV,68101
Sample Max Baro Pressure,68107
Sample Min Baro Pressure,68106
Sample Volume,68102
Sample Volume - Nylon Filter,68115
Sample Volume - Quartz Filter,68116
Sample Volume - Teflon Filter,68114
Scandium (TSP) STP,12163
Scandium PM2.5 LC,88163
Sea Salt (PM2.5),88395
Selenium (TSP) LC,14154
Selenium (TSP) STP,12154
Selenium PM10 LC,85154
Selenium PM10 STP,82154
Selenium PM10-2.5 LC,86154
Selenium PM10-2.5 STP,83154
Selenium PM2.5 LC,88154
Selenium PM2.5 STP,84154
Silica (precip),65551
Silica PM10 STP,82551
Silicon (TSP) STP,12165
Silicon PM10 LC,85165
Silicon PM10 STP,82165
Silicon PM10-2.5 LC,86165
Silicon PM10-2.5 STP,83165
Silicon PM2.5 LC,88165
Silicon PM2.5 STP,84165
Silver (SP),22166
Silver (TSP) LC,14166
Silver (TSP) STP,12166
Silver (precip),65166
Silver PM10 LC,85166
Silver PM10 STP,82166
Silver PM10-2.5 LC,86166
Silver PM2.5 LC,88166
Silver tarnishing,72101
Size fractionated particulate,81101
Smoke,11204
Sodium (TSP) STP,12184
Sodium (precip),65311
Sodium Ion PM10 LC,85302
Sodium Ion PM10-2.5 LC,86302
Sodium Ion Pm2.5 LC,88302
Sodium PM10 LC,85184
Sodium PM10 STP,82184
Sodium PM10-2.5 LC,86184
Sodium PM2.5 LC,88184
Soil Extinction PM2.5 LC,88349
Soil PM2.5 LC,88348
Soil Temperature,62108
Soil index (COH),11201
Soil index (RUD),11202
Soil index (ug/m3),11205
Solar radiation,63301
Std Dev Hz Wind Direction,61106
Std Dev Hz Wind Speed,61111
Std Dev Vt Wind Direction,61107
Std Dev Vt Wind Speed,61110
Steel corrosion,72201
Strong Acids (precip),65306
Strontium (TSP) STP,12168
Strontium - 88 (TSP),11355
Strontium PM10 LC,85168
Strontium PM10 STP,82168
Strontium PM10-2.5 LC,86168
Strontium PM10-2.5 STP,83168
Strontium PM2.5 LC,88168
Strontium PM2.5 STP,84168
Strontium(TSP) LC,14168
Styrene,45220
Styrene and o-xylene,45110
Sulfate (SP),22403
Sulfate (TSP) LC,14403
Sulfate (TSP) STP,12403
Sulfate (precip),65322
Sulfate PM10 LC,85403
Sulfate PM10 STP,82403
Sulfate PM10-2.5 LC,86403
Sulfate PM2.5 LC,88403
Sulfate PM2.5 STP ,82453
Sulfation rate,42410
Sulfur (TSP) STP,12169
Sulfur PM10 LC,85169
Sulfur PM10 STP,82169
Sulfur PM10-2.5 LC,86169
Sulfur PM10-2.5 STP,83169
Sulfur PM2.5 LC,88169
Sulfur PM2.5 STP,84169
Sulfur dioxide,42401
Sulfuric acid,42306
Sulfuric acid (TSP) STP,12402
Sum of PAMS target compounds,43000
Survey Data PM10 LC,85100
Suspended particulate (TSP),11101
Suspended particulate (TSP) LC,11102
Tantalum (TSP) STP,12170
Tantalum PM2.5 LC,88170
Tellurium and compounds as Te (TSP) STP,12171
Temperature 24-Hr Max,62104
Temperature 24-Hr Min,62105
Temperature Difference,62106
Terbium (TSP) STP,12172
Terbium PM2.5 LC,88172
Tert-amyl methyl ether,43373
Tetrachlorobenzene (TSP) STP,17802
Tetrachlorobiphenyl (TSP) STP,17812
Tetrachloroethylene,43817
Tetrachlorophenol (TSP) STP,17807
Tetradecanal,43523
Thallium (TSP) LC,14173
Thallium (TSP) STP,12173
Thallium (precip),65173
Thallium PM10 LC,85173
Thallium PM10 STP,82173
Thallium PM2.5 LC,88173
Thorium (TSP) LC,14174
Thorium PM10 LC,85174
Thorium PM2.5 LC,88174
Thorium-230 (TSP) STP,12138
Thorium-232 (TSP) STP,12139
Tin (TSP) LC,14160
Tin (TSP) STP,12160
Tin - 117 (TSP),11356
Tin - 120 (TSP),11361
Tin PM10 LC,85160
Tin PM10 STP,82160
Tin PM10-2.5 LC,86160
Tin PM10-2.5 STP,83160
Tin PM2.5 LC,88160
Tin PM2.5 STP,84160
Titanium (TSP) LC,14161
Titanium (TSP) STP,12161
Titanium PM10 LC,85161
Titanium PM10 STP,82161
Titanium PM10-2.5 LC,86161
Titanium PM10-2.5 STP,83161
Titanium PM2.5 LC,88161
Titanium PM2.5 STP,84161
Tolualdehydes,45504
Toluene,45202
Total Carbon PM10 STP,82116
Total Carbon PM2.5 LC TOT,88312
Total Carbon PM2.5 STP TOT,84312
Total NMOC (non-methane organic compound),43102
Total Nitrate PM10 LC,85306
Total Nitrate PM10-2.5 LC,86306
Total Nitrate PM2.5 LC,88306
Total Oxidants,44101
Total Weight Ash (SP),21116
Total chlorinated hydrocarbons,43800
Total dustfall (SP),21101
Total heptachlorodibenzo-p-dioxin (TSP) STP,17823
Total heptachlorodibenzofuran (TSP) STP,17829
Total hexachlorodibenzo-p-dioxin (TSP) STP,17822
Total hexachlorodibenzofuran (TSP) STP,17828
Total hydrocarbons,43101
Total non-asbestos fibers,11125
Total octachlorodibenzo-p-dioxin (TSP) STP,17824
Total octachlorodibenzofuran (TSP) STP,17830
Total pentachlorodibenzo-p-dioxin (TSP) STP,17821
Total pentachlorodibenzofuran (TSP) STP,17827
Total polynuclear hydrocarbons,11104
Total reduced sulfur,43911
Total sulfur,42269
Total tetachlorodibenzo-p-dioxin (TSP) STP,17820
Total tetrachlorodibenzofuran (TSP) STP,17826
Trans-Crotonaldehyde,43516
Trichlorobenzene (TSP) STP,17801
Trichlorobiphenyl (TSP) STP,17811
Trichloroethylene,43824
Trichlorofluoromethane,43811
Trichlorophenol (TSP) STP,17806
Tridecanal,43526
Tridecene,43142
Tungsten (TSP) STP,12178
Tungsten PM2.5 LC,88186
UV Carbon PM 2.5 at 375 nm,88366
UV Carbon PM2.5 STP,84314
UV Carbon PM2.5 at 370 nm,88314
Ultraviolet radiation,63302
Ultraviolet radiation (type B),63304
Undecanal,43527
Unidentified VOC,43131
Uranium (TSP) STP,12179
Uranium PM10 LC,85179
Uranium PM10 STP,82179
Uranium PM10-2.5 STP,83179
Uranium PM2.5 LC,88179
Uranium PM2.5 STP,84179
Valeraldehyde,43518
Vanadium (TSP) LC,14164
Vanadium (TSP) STP,12164
Vanadium (precip),65164
Vanadium - 51 (TSP),11362
Vanadium PM10 LC,85164
Vanadium PM10 STP,82164
Vanadium PM10-2.5 LC,86164
Vanadium PM10-2.5 STP,83164
Vanadium PM2.5 LC,88164
Vanadium PM2.5 STP,84164
Vert Wind Direction,61112
Vertical Wind Speed,61109
Vinyl acetate,43447
Vinyl bromide,43861
Vinyl chloride,43860
Virtual Temperature,62102
Visibility,63101
Volatile Nitrate PM2.5 LC,88309
Volatile nitrate PM10 LC,85309
Volatile nitrate PM10-2.5 LC,86309
Volatile organic compounds,43104
Volume (precip),65301
Water Inso Ash (SP),21118
Water Insol Wt (SP),21115
Water Sol Ash (SP),21117
Water Sol Weight (SP),21114
Wind Direction - Resultant,61104
Wind Direction - Scalar,61102
Wind Speed - Resultant,61103
Wind Speed - Scalar,61101
Windblown particulate,11114
Xylene(s),45102
Yttrium (TSP) LC,14183
Yttrium (TSP) STP,12183
Yttrium PM10 LC,85183
Yttrium PM10 STP,82183
Yttrium PM10-2.5 STP,83183
Yttrium PM2.5 LC,88183
Yttrium PM2.5 STP,84183
Zinc (SP),22167
Zinc (TSP) LC,14167
Zinc (TSP) STP,12167
Zinc (precip),65338
Zinc - 64 (TSP),11360
Zinc - 66 (TSP),11357
Zinc PM10 LC,85167
Zinc PM10 STP,82167
Zinc PM10-2.5 LC,86167
Zinc PM10-2.5 STP,83167
Zinc PM2.5 LC,88167
Zinc PM2.5 STP,84167
Zirconium (TSP) STP,12185
Zirconium PM10 LC,85185
Zirconium PM10 STP,82185
Zirconium PM10-2.5 LC,86185
Zirconium PM10-2.5 STP,83185
Zirconium PM2.5 LC,88185
Zirconium PM2.5 STP,84185
alpha.-Pinene,43256
beta.-Pinene,43257
"beta.Pinene & 1,2,3- trimethylbenzene",43189
bis (2-chloroethyl)ether  (TSP) STP,16767
bis(2-chloroethoxy)methane  (TSP) STP,16768
bis(2-chloroisopropyl)ether  (TSP) STP,16769
bis(2-ethylhexyl)phthalate  (TSP) STP,16770
"cis-1,2-Dichloroethene",43839
"cis-1,2-Dimethylcyclopentane",43393
"cis-1,3-Dichloropropene",43831
cis-2-Butene,43217
cis-2-Hexene,43290
cis-2-Pentene,43227
cis-2-Pentene & 2-methylpentane,43349
cis-3-Hexene,43254
cis-4-Methyl-2-pentene,43286
cis-Crotonaldehyde,43520
cis/trans-2-Butene,43148
cis/trans-2-Hexene,43149
cis/trans-2-Pentene,43150
dichlorofluoromethane,43360
m & p-Tolualdehyde,45506
m and p-Cresol  (TSP) STP,16786
m(and p)-Ethyltoluene,43379
m(and p)-Xylene & bromoform,45111
m-Cresol (TSP) STP,17302
m-Diethylbenzene,45218
m-Ethyltoluene,45212
m-Tolualdehyde,45508
m-Xylene,45205
m/p Ethyltoluene,45116
m/p Xylene,45109
n-Amyl alcohol,43307
n-Butane,43212
n-Butyl acrylate,43440
n-Butyl alcohol,43305
n-Decane,43238
"n-Decane & 1,2,4-trimethylbenzene",43348
n-Dodecane,43141
n-Heptane,43232
n-Hexadecane,16210
n-Hexane,43231
n-Hexylbenzene,45234
n-Nonane,43235
n-Octane,43233
"n-Octane & trans-1,3-dichloropropylene",43130
n-Pentadecane,43260
n-Pentane,43220
n-Pinene & benzaldehyde,43323
n-Propyl acetate,43434
n-Propyl alcohol,43303
n-Propylbenzene,45209
n-Tetradecane,43259
n-Tridecane,43143
n-Undecane,43954
o-Cresol (TSP) STP,17301
o-Diethylbenzene,45217
o-Ethyltoluene,45211
o-Tolualdehyde,45505
o-Toluidine (TSP) STP,17710
o-Xylene,45204
"o-Xylene & 1,1,2,2-tetrachloroethane",45112
p-Cresol (TSP) STP,17303
p-Diethylbenzene,45219
p-Ethyltoluene,45213
p-Tolualdehyde,45507
p-Xylene,45206
p-isopropyltoluene,43397
p-tert-butyl toluene,45230
pH (Dustfall),22602
sec-Butylbenzene,45216
tert-Butyl ethyl ether,43396
tert-butyl alcohol,43309
"trans-1,2-Dichloroethylene",43838
"trans-1,3-Dichloropropene",43830
"trans-1,3-Dimethylcyclopentane",43394
trans-2-Butene,43216
trans-2-Hexene,43289
trans-2-Pentene,43226
